Provinsi,Year,Reading Frequency per week,Number of Readings per Quarter,Daily Reading Duration (in minutes),Internet Access Frequency per Week,Daily Internet Duration (in minutes),Tingkat Kegemaran Membaca (Reading Interest),Category
Aceh,0.0,0.0,0.0,0.3095768374164811,0.0,0.49632352941176494,0.13097949886104754,Moderate
Aceh,0.6666666666667425,0.6666666666666665,0.875,0.29398663697104666,0.0,0.8529411764705883,0.7670842824601363,High
Aceh,1.0,0.6666666666666665,0.875,0.3095768374164811,0.0,0.13970588235294112,0.8120728929384966,Moderate
Bali,0.0,0.0,0.125,0.22048997772828494,0.0,0.49632352941176494,0.2619589977220955,Moderate
Bali,0.33333333333337123,1.0,0.625,0.020044543429844186,0.0,0.0,0.42255125284738027,Moderate
Bali,0.6666666666667425,0.6666666666666665,0.875,0.37639198218262826,0.0,0.6139705882352939,0.7522779043280186,High
Bali,1.0,0.6666666666666665,0.875,0.4209354120267259,0.0,0.6176470588235294,0.8547835990888384,Moderate
Bangka Belitung Islands,0.33333333333337123,0.3333333333333335,0.625,0.4565701559020041,0.0,0.1507352941176472,0.5370159453302961,High
Bangka Belitung Islands,1.0,0.6666666666666665,1.0,0.26503340757238303,0.0,0.32352941176470607,0.7853075170842825,Moderate
Bangka Belitung Islands,0.0,0.3333333333333335,0.0,0.37639198218262826,0.0,0.49632352941176494,0.26480637813211816,Moderate
Banten,0.0,0.3333333333333335,0.125,0.37639198218262826,0.0,0.49632352941176494,0.36389521640091127,Moderate
Banten,0.33333333333337123,0.6666666666666665,0.625,0.4253897550111361,0.0,0.36029411764705843,0.5353075170842825,High
Banten,0.6666666666667425,0.6666666666666665,0.875,0.36302895322939865,0.0,0.4044117647058827,0.7585421412300684,High
Bengkulu,0.0,0.0,0.125,0.665924276169265,0.0,0.49632352941176494,0.32004555808656043,Moderate
Bengkulu,0.33333333333337123,0.3333333333333335,0.625,0.380846325167038,0.0,0.8382352941176472,0.5558086560364464,High
Bengkulu,0.6666666666667425,0.6666666666666665,0.875,0.25612472160356314,0.0,0.6102941176470584,0.6708428246013667,High
Central Java,0.0,0.3333333333333335,0.125,0.5991091314031178,0.0,0.49632352941176494,0.5410022779043282,High
Central Java,0.33333333333337123,1.0,0.625,0.9599109131403119,0.0,0.9816176470588238,0.9066059225512526,High
Central Kalimantan,0.0,0.0,0.125,0.17594654788418707,0.0,0.49632352941176494,0.20842824601366727,Moderate
Central Kalimantan,1.0,0.6666666666666665,0.875,0.22048997772828494,0.0,0.36029411764705843,0.7727790432801824,Moderate
Central Sulawesi,1.0,0.3333333333333335,0.875,0.17594654788418707,0.0,0.17647058823529438,0.5068337129840548,Moderate
East Java,0.0,0.6666666666666665,0.125,0.7772828507795098,0.0,0.49632352941176494,0.6594533029612757,High
East Java,0.33333333333337123,1.0,0.625,0.465478841870824,0.0,0.4558823529411762,0.6731207289293852,High
East Kalimantan,0.0,0.6666666666666665,0.125,0.5545657015590202,0.0,0.49632352941176494,0.5523917995444187,High
East Kalimantan,0.33333333333337123,1.0,0.625,0.23830734966592426,0.0,0.4669117647058827,0.7101366742596809,High
East Nusa Tenggara,0.33333333333337123,0.6666666666666665,0.625,0.32739420935412,0.0,0.5183823529411762,0.6047835990888384,High
East Nusa Tenggara,0.6666666666667425,0.6666666666666665,0.875,0.1982182628062359,0.0,0.9632352941176472,0.7095671981776768,High
East Nusa Tenggara,1.0,1.0,0.75,0.665924276169265,0.0,0.7279411764705883,0.8787015945330299,Moderate
Indonesia,0.0,0.0,0.0,0.33184855233853017,0.0,0.49632352941176494,0.19134396355353056,Moderate
Indonesia,0.6666666666667425,0.6666666666666665,0.75,0.37639198218262826,0.0,0.6176470588235294,0.6560364464692481,High
Indonesia,1.0,0.6666666666666665,0.875,0.5768374164810688,0.0,0.6176470588235294,0.8194760820045555,Moderate
Jakarta,0.0,0.3333333333333335,0.125,0.8218262806236079,0.0,0.49632352941176494,0.48177676537585423,High
Jakarta,0.33333333333337123,0.3333333333333335,0.625,0.4565701559020041,0.0,0.2757352941176472,0.5620728929384966,High
Jakarta,0.6666666666667425,1.0,0.875,0.6971046770601339,0.0,0.5147058823529416,0.9299544419134391,High
Jakarta,1.0,1.0,0.75,0.9999999999999998,0.0,0.8749999999999996,1.0,Moderate
Jambi,0.0,0.0,0.0,0.33184855233853017,0.0,0.49632352941176494,0.11161731207289316,Moderate
Lampung,0.0,0.3333333333333335,0.125,0.665924276169265,0.0,0.49632352941176494,0.5182232346241453,High
Lampung,0.33333333333337123,0.6666666666666665,0.625,0.12694877505567925,0.0,0.036764705882353255,0.5728929384965831,High
Lampung,0.6666666666667425,0.6666666666666665,0.875,0.334075723830735,0.0,0.23529411764705888,0.6725512528473803,High
Lampung,1.0,0.6666666666666665,0.875,0.2873051224944321,0.0,0.25,0.797266514806378,Moderate
Maluku,1.0,0.3333333333333335,0.75,0.3541202672605792,0.0,0.8749999999999996,0.5979498861047836,Moderate
North Kalimantan,0.6666666666667425,0.3333333333333335,0.75,0.1625835189309579,0.0,0.5147058823529416,0.4738041002277904,High
North Kalimantan,1.0,1.0,0.875,0.7104677060133631,0.0,0.4705882352941173,0.964123006833713,Moderate
North Maluku,0.0,0.0,0.0,0.37639198218262826,0.0,0.49632352941176494,0.16457858769931644,Moderate
North Sulawesi,1.0,0.6666666666666665,0.75,0.5100222717149221,0.0,0.8749999999999996,0.6850797266514803,Moderate
North Sumatra,0.33333333333337123,0.3333333333333335,0.5,0.28953229398663693,0.0,0.2132352941176472,0.2779043280182232,Moderate
North Sumatra,0.6666666666667425,0.6666666666666665,0.75,0.4253897550111361,0.0,0.49632352941176494,0.7015945330296129,High
North Sumatra,1.0,0.6666666666666665,0.875,0.5322939866369711,0.0,0.36029411764705843,0.8331435079726655,Moderate
Riau,0.0,0.0,0.0,0.39866369710467686,0.0,0.49632352941176494,0.16059225512528474,Moderate
Riau,0.33333333333337123,0.6666666666666665,0.5,0.2115812917594655,0.0,0.5551470588235294,0.4208428246013667,Moderate
Riau,0.6666666666667425,0.6666666666666665,0.875,0.32739420935412,0.0,0.5147058823529416,0.6748291571753988,High
Riau,1.0,0.6666666666666665,0.875,0.4209354120267259,0.0,0.5441176470588238,0.8149202733485192,Moderate
Riau Islands,0.0,0.0,0.125,0.37639198218262826,0.0,0.49632352941176494,0.22665148063781304,Moderate
Riau Islands,0.33333333333337123,0.3333333333333335,0.625,0.3652561247216035,0.0,0.49632352941176494,0.5381548974943051,High
South East Sulawesi,0.0,0.3333333333333335,0.125,0.020044543429844186,0.0,0.49632352941176494,0.20558086560364464,Moderate
South East Sulawesi,0.33333333333337123,0.3333333333333335,0.375,0.09131403118040105,0.0,0.8198529411764706,0.29897494305239203,Moderate
South East Sulawesi,0.6666666666667425,0.6666666666666665,0.875,0.34521158129175933,0.0,0.7720588235294117,0.7317767653758542,High
South Kalimantan,0.0,0.0,0.125,0.2873051224944321,0.0,0.49632352941176494,0.1976082004555808,Moderate
South Kalimantan,0.33333333333337123,0.6666666666666665,0.625,0.25612472160356314,0.0,0.1507352941176472,0.48234624145785876,Moderate
South Kalimantan,1.0,0.6666666666666665,0.875,0.48775055679287305,0.0,0.36029411764705843,0.8405466970387243,Moderate
South Sulawesi,0.0,0.3333333333333335,0.0,0.5545657015590202,0.0,0.49632352941176494,0.3712984054669701,Moderate
South Sulawesi,0.33333333333337123,0.6666666666666665,0.625,0.5701559020044542,0.0,0.48897058823529393,0.6104783599088837,High
South Sumatra,0.0,0.0,0.0,0.1314031180400892,0.0,0.49632352941176494,0.0,Moderate
South Sumatra,1.0,0.6666666666666665,0.75,0.5322939866369711,0.0,0.10294117647058831,0.6702733485193626,Moderate
West Java,0.0,0.6666666666666665,0.125,0.688195991091314,0.0,0.49632352941176494,0.5956719817767655,High
West Java,0.33333333333337123,1.0,0.625,0.6146993318485523,0.0,0.6250000000000004,0.7380410022779045,High
West Kalimantan,0.0,0.0,0.0,0.3095768374164811,0.0,0.49632352941176494,0.16287015945330285,Moderate
West Kalimantan,0.6666666666667425,0.6666666666666665,0.875,0.23830734966592426,0.0,0.2610294117647056,0.6674259681093391,High
West Nusa Tenggara,0.0,0.0,0.125,0.04231625835189323,0.0,0.49632352941176494,0.06321184510250566,Moderate
West Nusa Tenggara,0.33333333333337123,0.3333333333333335,0.375,0.0,0.0,0.2757352941176472,0.22949886104783568,Moderate
West Nusa Tenggara,0.6666666666667425,0.3333333333333335,0.75,0.17149220489977735,0.0,1.0000000000000004,0.4891799544419131,High
West Nusa Tenggara,1.0,0.6666666666666665,0.875,0.4209354120267259,0.0,0.17647058823529438,0.7517084282460136,Moderate
West Sulawesi,0.6666666666667425,0.3333333333333335,0.75,0.11804008908685981,0.0,0.4632352941176472,0.3849658314350797,Moderate
West Sumatra,0.0,0.0,0.0,0.3541202672605792,0.0,0.49632352941176494,0.21127562642369035,Moderate
West Sumatra,0.33333333333337123,0.6666666666666665,0.625,0.15367483296213802,0.0,0.14338235294117618,0.4994305239179955,High
West Sumatra,0.6666666666667425,0.6666666666666665,0.875,0.5100222717149221,0.0,0.6470588235294117,0.8251708428246016,High
Yogyakarta,0.0,0.6666666666666665,0.125,0.9331848552338531,0.0,0.49632352941176494,0.7602505694760824,High
